Identifier	File
C3orf58	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01011	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01968	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR4526	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR5739	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR1261	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR2053	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101928163	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC105376671	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC02126	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC100130331	GSM4915094_Ctrl.hg38.bed.anno.count.txt
SNORA50B	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC100128340	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR490	GSM4915094_Ctrl.hg38.bed.anno.count.txt
C1orf143	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101927374	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101927248	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01011	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC00536	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101928008	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR548F2	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR548F2	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC02018	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR7157	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC400800	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR586	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC105375972	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR586	GSM4915094_Ctrl.hg38.bed.anno.count.txt
SNORA95	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR4526	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC100130331	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01968	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101927911	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01492	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC100130331	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01036	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC285638	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR548I1	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01347	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101927374	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR3177	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101928135	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC105372672	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC00536	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC00707	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR1261	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC285638	GSM4915094_Ctrl.hg38.bed.anno.count.txt
C2orf88	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101927248	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR924	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR924	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC00486	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC400800	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR2909	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR676	GSM4915094_Ctrl.hg38.bed.anno.count.txt
C3orf58	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR2909	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR1250	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01278	GSM4915094_Ctrl.hg38.bed.anno.count.txt
SNORA95	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC105372672	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR2053	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR586	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC105375972	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101928540	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR676	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LINC01347	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC401463	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR2909	GSM4915094_Ctrl.hg38.bed.anno.count.txt
MIR4490	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC101928437	GSM4915094_Ctrl.hg38.bed.anno.count.txt
LOC100128340	GSM4915094_Ctrl.hg38.bed.anno.count.txt
